Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_with_Keyword,,,,2020-02-16 19:46:02,2020-02-16 19:46:08,5.581s,FAILED
,,,,,,,
Test Cases/amzon,,,,2020-02-16 19:46:02,2020-02-16 19:46:08,5.278s,FAILED
"openBrowser("""")",,,,2020-02-16 19:46:03,2020-02-16 19:46:08,4.875s,FAILED
